iter	Passed	Remaining
0	62	62658
1	129	64724
2	193	64229
3	256	63859
4	316	62894
5	377	62598
6	439	62301
7	496	61618
8	557	61386
9	621	61566
10	681	61242
11	742	61154
12	799	60716
13	863	60806
14	932	61224
15	997	61374
16	1054	61003
17	1110	60567
18	1164	60102
19	1216	59614
20	1271	59276
21	1325	58906
22	1379	58597
23	1436	58436
24	1490	58112
25	1543	57810
26	1595	57480
27	1647	57188
28	1700	56953
29	1753	56698
30	1807	56495
31	1861	56319
32	1917	56184
33	1973	56068
34	2034	56099
35	2092	56040
36	2151	55997
37	2213	56023
38	2272	55991
39	2331	55946
40	2390	55925
41	2451	55909
42	2509	55860
43	2565	55749
44	2625	55724
45	2692	55847
46	2758	55925
47	2822	55984
48	2884	55986
49	2941	55897
50	3007	55963
51	3067	55915
52	3133	55981
53	3191	55912
54	3256	55945
55	3317	55926
56	3378	55886
57	3435	55795
58	3501	55839
59	3565	55858
60	3622	55759
61	3678	55652
62	3735	55561
63	3798	55547
64	3853	55430
65	3914	55397
66	3971	55303
67	4033	55281
68	4103	55368
69	4160	55276
70	4222	55250
71	4283	55204
72	4343	55162
73	4401	55082
74	4460	55015
75	4520	54960
76	4573	54824
77	4642	54877
78	4701	54808
79	4770	54856
80	4830	54803
81	4891	54766
82	4949	54688
83	5009	54630
84	5068	54563
85	5130	54525
86	5186	54432
87	5244	54348
88	5302	54279
89	5358	54180
90	5413	54075
91	5473	54019
92	5529	53930
93	5587	53849
94	5643	53760
95	5696	53646
96	5752	53547
97	5810	53481
98	5868	53413
99	5930	53370
100	5991	53328
101	6050	53268
102	6107	53192
103	6165	53115
104	6228	53090
105	6247	52693
106	6304	52618
107	6366	52585
108	6429	52555
109	6486	52478
110	6541	52389
111	6601	52342
112	6658	52266
113	6718	52214
114	6776	52152
115	6836	52096
116	6901	52082
117	6967	52076
118	7030	52049
119	7101	52076
120	7164	52047
121	7220	51966
122	7241	51635
123	7303	51593
124	7359	51515
125	7420	51469
126	7478	51410
127	7537	51346
128	7597	51299
129	7657	51244
130	7712	51159
131	7770	51096
132	7831	51051
133	7890	50993
134	7955	50972
135	8027	50997
136	8094	50986
137	8155	50944
138	8222	50929
139	8289	50923
140	8359	50930
141	8417	50860
142	8481	50827
143	8534	50733
144	8595	50686
145	8654	50622
146	8715	50571
147	8776	50523
148	8836	50468
149	8896	50413
150	8954	50346
151	9013	50284
152	9071	50221
153	9135	50183
154	9199	50151
155	9261	50106
156	9318	50034
157	9378	49978
158	9440	49934
159	9500	49879
160	9558	49809
161	9615	49738
162	9666	49639
163	9722	49562
164	9781	49500
165	9847	49472
166	9918	49475
167	9980	49426
168	10038	49359
169	10096	49295
170	10155	49231
171	10214	49173
172	10272	49106
173	10331	49046
174	10389	48980
175	10447	48912
176	10507	48856
177	10569	48807
178	10630	48759
179	10692	48708
180	10755	48665
181	10818	48625
182	10876	48556
183	10947	48551
184	11007	48492
185	11076	48472
186	11143	48447
187	11203	48389
188	11262	48329
189	11320	48262
190	11379	48198
191	11441	48148
192	11501	48092
193	11558	48021
194	11620	47971
195	11677	47899
196	11736	47841
197	11795	47777
198	11854	47715
199	11913	47655
200	11978	47616
201	12040	47567
